agreement_id,organizer_id,reseller_id,commission_rate,effective_from,effective_to
1,ORG001,RES033,7.98,2019-01-01,2020-12-31
2,ORG001,RES049,10.61,2019-01-01,2020-12-31
3,ORG001,RES012,7.42,2019-01-01,2020-12-31
4,ORG001,RES050,19.3,2019-01-01,2020-12-31
5,ORG001,RES007,18.84,2019-01-01,2020-12-31
6,ORG001,RES041,18.78,2019-01-01,2020-12-31
7,ORG001,RES020,13.98,2019-01-01,2020-12-31
8,ORG001,RES045,12.33,2019-01-01,2020-12-31
9,ORG001,RES047,6.68,2019-01-01,2020-12-31
10,ORG001,RES039,10.44,2019-01-01,2020-12-31
11,ORG002,RES020,16.49,2019-01-01,2020-12-31
12,ORG002,RES016,6.93,2019-01-01,2020-12-31
13,ORG002,RES004,12.13,2019-01-01,2020-12-31
14,ORG002,RES049,13.25,2019-01-01,2020-12-31
15,ORG002,RES037,8.98,2019-01-01,2020-12-31
16,ORG002,RES006,18.09,2019-01-01,2020-12-31
17,ORG002,RES045,11.35,2019-01-01,2020-12-31
18,ORG002,RES032,8.18,2019-01-01,2020-12-31
19,ORG002,RES005,13.09,2019-01-01,2020-12-31
20,ORG002,RES035,15.95,2019-01-01,2020-12-31
21,ORG003,RES013,6.82,2019-01-01,2020-12-31
22,ORG003,RES046,8.37,2019-01-01,2020-12-31
23,ORG003,RES020,10.07,2019-01-01,2020-12-31
24,ORG003,RES026,13.82,2019-01-01,2020-12-31
25,ORG003,RES043,8.45,2019-01-01,2020-12-31
26,ORG003,RES042,8.3,2019-01-01,2020-12-31
27,ORG003,RES024,6.06,2019-01-01,2020-12-31
28,ORG003,RES029,14.47,2019-01-01,2020-12-31
29,ORG003,RES034,8.43,2019-01-01,2020-12-31
30,ORG003,RES049,18.58,2019-01-01,2020-12-31
31,ORG004,RES022,15.85,2019-01-01,2020-12-31
32,ORG004,RES005,18.24,2019-01-01,2020-12-31
33,ORG004,RES033,13.64,2019-01-01,2020-12-31
34,ORG004,RES016,8.64,2019-01-01,2020-12-31
35,ORG004,RES018,12.09,2019-01-01,2020-12-31
36,ORG004,RES043,11.11,2019-01-01,2020-12-31
37,ORG004,RES032,6.41,2019-01-01,2020-12-31
38,ORG004,RES014,14.88,2019-01-01,2020-12-31
39,ORG004,RES035,10.31,2019-01-01,2020-12-31
40,ORG004,RES009,11.17,2019-01-01,2020-12-31
41,ORG005,RES047,8.73,2019-01-01,2020-12-31
42,ORG005,RES004,7.85,2019-01-01,2020-12-31
43,ORG005,RES044,11.73,2019-01-01,2020-12-31
44,ORG005,RES042,11.33,2019-01-01,2020-12-31
45,ORG005,RES050,9.18,2019-01-01,2020-12-31
46,ORG005,RES007,8.75,2019-01-01,2020-12-31
47,ORG005,RES049,18.85,2019-01-01,2020-12-31
48,ORG005,RES026,11.65,2019-01-01,2020-12-31
49,ORG005,RES022,17.92,2019-01-01,2020-12-31
50,ORG005,RES045,13.25,2019-01-01,2020-12-31
51,ORG006,RES004,8.21,2019-01-01,2020-12-31
52,ORG006,RES042,11.02,2019-01-01,2020-12-31
53,ORG006,RES035,5.88,2019-01-01,2020-12-31
54,ORG006,RES001,10.68,2019-01-01,2020-12-31
55,ORG006,RES006,19.78,2019-01-01,2020-12-31
56,ORG006,RES016,8.98,2019-01-01,2020-12-31
57,ORG006,RES011,16.76,2019-01-01,2020-12-31
58,ORG006,RES027,11.83,2019-01-01,2020-12-31
59,ORG006,RES032,11.35,2019-01-01,2020-12-31
60,ORG006,RES031,19.36,2019-01-01,2020-12-31
61,ORG007,RES036,16.04,2019-01-01,2020-12-31
62,ORG007,RES043,5.91,2019-01-01,2020-12-31
63,ORG007,RES046,9.7,2019-01-01,2020-12-31
64,ORG007,RES032,5.75,2019-01-01,2020-12-31
65,ORG007,RES010,12.15,2019-01-01,2020-12-31
66,ORG007,RES013,18.79,2019-01-01,2020-12-31
67,ORG007,RES019,12.97,2019-01-01,2020-12-31
68,ORG007,RES014,5.85,2019-01-01,2020-12-31
69,ORG007,RES004,12.62,2019-01-01,2020-12-31
70,ORG007,RES038,17.77,2019-01-01,2020-12-31
71,ORG008,RES005,13.92,2019-01-01,2020-12-31
72,ORG008,RES039,14.29,2019-01-01,2020-12-31
73,ORG008,RES050,11.29,2019-01-01,2020-12-31
74,ORG008,RES044,13.76,2019-01-01,2020-12-31
75,ORG008,RES016,12.84,2019-01-01,2020-12-31
76,ORG008,RES026,19.02,2019-01-01,2020-12-31
77,ORG008,RES008,8.06,2019-01-01,2020-12-31
78,ORG008,RES037,15.74,2019-01-01,2020-12-31
79,ORG008,RES046,8.58,2019-01-01,2020-12-31
80,ORG008,RES038,10.94,2019-01-01,2020-12-31
81,ORG009,RES043,19.94,2019-01-01,2020-12-31
82,ORG009,RES042,6.1,2019-01-01,2020-12-31
83,ORG009,RES020,8.2,2019-01-01,2020-12-31
84,ORG009,RES030,8.98,2019-01-01,2020-12-31
85,ORG009,RES021,19.0,2019-01-01,2020-12-31
86,ORG009,RES005,18.21,2019-01-01,2020-12-31
87,ORG009,RES001,18.19,2019-01-01,2020-12-31
88,ORG009,RES047,10.54,2019-01-01,2020-12-31
89,ORG009,RES040,7.37,2019-01-01,2020-12-31
90,ORG009,RES037,17.51,2019-01-01,2020-12-31
91,ORG010,RES046,19.08,2019-01-01,2020-12-31
92,ORG010,RES020,7.01,2019-01-01,2020-12-31
93,ORG010,RES040,6.73,2019-01-01,2020-12-31
94,ORG010,RES042,6.61,2019-01-01,2020-12-31
95,ORG010,RES034,13.3,2019-01-01,2020-12-31
96,ORG010,RES001,9.09,2019-01-01,2020-12-31
97,ORG010,RES043,14.07,2019-01-01,2020-12-31
98,ORG010,RES036,15.76,2019-01-01,2020-12-31
99,ORG010,RES049,8.05,2019-01-01,2020-12-31
100,ORG010,RES007,14.51,2019-01-01,2020-12-31
101,ORG011,RES017,5.05,2019-01-01,2020-12-31
102,ORG011,RES033,16.57,2019-01-01,2020-12-31
103,ORG011,RES032,14.56,2019-01-01,2020-12-31
104,ORG011,RES050,8.93,2019-01-01,2020-12-31
105,ORG011,RES004,16.12,2019-01-01,2020-12-31
106,ORG011,RES006,13.28,2019-01-01,2020-12-31
107,ORG011,RES041,11.42,2019-01-01,2020-12-31
108,ORG011,RES028,5.15,2019-01-01,2020-12-31
109,ORG011,RES018,6.13,2019-01-01,2020-12-31
110,ORG011,RES003,18.25,2019-01-01,2020-12-31
111,ORG012,RES010,9.62,2019-01-01,2020-12-31
112,ORG012,RES035,18.48,2019-01-01,2020-12-31
113,ORG012,RES003,16.94,2019-01-01,2020-12-31
114,ORG012,RES024,17.91,2019-01-01,2020-12-31
115,ORG012,RES038,18.48,2019-01-01,2020-12-31
116,ORG012,RES036,8.15,2019-01-01,2020-12-31
117,ORG012,RES050,8.74,2019-01-01,2020-12-31
118,ORG012,RES028,6.54,2019-01-01,2020-12-31
119,ORG012,RES009,16.7,2019-01-01,2020-12-31
120,ORG012,RES048,18.26,2019-01-01,2020-12-31
121,ORG013,RES027,16.05,2019-01-01,2020-12-31
122,ORG013,RES040,9.98,2019-01-01,2020-12-31
123,ORG013,RES048,18.96,2019-01-01,2020-12-31
124,ORG013,RES010,17.03,2019-01-01,2020-12-31
125,ORG013,RES016,17.96,2019-01-01,2020-12-31
126,ORG013,RES011,17.16,2019-01-01,2020-12-31
127,ORG013,RES012,9.0,2019-01-01,2020-12-31
128,ORG013,RES050,16.81,2019-01-01,2020-12-31
129,ORG013,RES002,6.62,2019-01-01,2020-12-31
130,ORG013,RES044,18.08,2019-01-01,2020-12-31
131,ORG014,RES031,10.98,2019-01-01,2020-12-31
132,ORG014,RES015,9.18,2019-01-01,2020-12-31
133,ORG014,RES013,6.04,2019-01-01,2020-12-31
134,ORG014,RES030,16.6,2019-01-01,2020-12-31
135,ORG014,RES023,10.27,2019-01-01,2020-12-31
136,ORG014,RES020,12.64,2019-01-01,2020-12-31
137,ORG014,RES049,15.19,2019-01-01,2020-12-31
138,ORG014,RES044,17.65,2019-01-01,2020-12-31
139,ORG014,RES002,9.97,2019-01-01,2020-12-31
140,ORG014,RES048,5.41,2019-01-01,2020-12-31
141,ORG015,RES017,11.55,2019-01-01,2020-12-31
142,ORG015,RES012,19.76,2019-01-01,2020-12-31
143,ORG015,RES038,6.73,2019-01-01,2020-12-31
144,ORG015,RES050,18.49,2019-01-01,2020-12-31
145,ORG015,RES003,7.85,2019-01-01,2020-12-31
146,ORG015,RES007,5.67,2019-01-01,2020-12-31
147,ORG015,RES039,11.54,2019-01-01,2020-12-31
148,ORG015,RES028,12.8,2019-01-01,2020-12-31
149,ORG015,RES023,17.1,2019-01-01,2020-12-31
150,ORG015,RES021,15.3,2019-01-01,2020-12-31
151,ORG016,RES048,9.71,2019-01-01,2020-12-31
152,ORG016,RES050,17.72,2019-01-01,2020-12-31
153,ORG016,RES043,15.8,2019-01-01,2020-12-31
154,ORG016,RES013,9.5,2019-01-01,2020-12-31
155,ORG016,RES024,9.64,2019-01-01,2020-12-31
156,ORG016,RES028,11.13,2019-01-01,2020-12-31
157,ORG016,RES005,11.04,2019-01-01,2020-12-31
158,ORG016,RES049,9.43,2019-01-01,2020-12-31
159,ORG016,RES022,6.91,2019-01-01,2020-12-31
160,ORG016,RES040,11.31,2019-01-01,2020-12-31
161,ORG017,RES025,9.56,2019-01-01,2020-12-31
162,ORG017,RES044,8.15,2019-01-01,2020-12-31
163,ORG017,RES048,16.79,2019-01-01,2020-12-31
164,ORG017,RES012,14.1,2019-01-01,2020-12-31
165,ORG017,RES040,9.83,2019-01-01,2020-12-31
166,ORG017,RES037,11.63,2019-01-01,2020-12-31
167,ORG017,RES020,15.13,2019-01-01,2020-12-31
168,ORG017,RES026,12.67,2019-01-01,2020-12-31
169,ORG017,RES036,16.91,2019-01-01,2020-12-31
170,ORG017,RES001,19.4,2019-01-01,2020-12-31
171,ORG018,RES048,6.4,2019-01-01,2020-12-31
172,ORG018,RES011,19.28,2019-01-01,2020-12-31
173,ORG018,RES043,8.52,2019-01-01,2020-12-31
174,ORG018,RES006,9.66,2019-01-01,2020-12-31
175,ORG018,RES019,17.1,2019-01-01,2020-12-31
176,ORG018,RES033,7.21,2019-01-01,2020-12-31
177,ORG018,RES050,5.69,2019-01-01,2020-12-31
178,ORG018,RES041,19.76,2019-01-01,2020-12-31
179,ORG018,RES040,14.17,2019-01-01,2020-12-31
180,ORG018,RES022,16.53,2019-01-01,2020-12-31
181,ORG019,RES030,7.21,2019-01-01,2020-12-31
182,ORG019,RES027,15.31,2019-01-01,2020-12-31
183,ORG019,RES041,18.39,2019-01-01,2020-12-31
184,ORG019,RES037,17.91,2019-01-01,2020-12-31
185,ORG019,RES013,18.28,2019-01-01,2020-12-31
186,ORG019,RES045,16.68,2019-01-01,2020-12-31
187,ORG019,RES025,8.28,2019-01-01,2020-12-31
188,ORG019,RES032,17.06,2019-01-01,2020-12-31
189,ORG019,RES026,15.44,2019-01-01,2020-12-31
190,ORG019,RES016,11.97,2019-01-01,2020-12-31
191,ORG020,RES036,9.76,2019-01-01,2020-12-31
192,ORG020,RES016,16.33,2019-01-01,2020-12-31
193,ORG020,RES008,11.64,2019-01-01,2020-12-31
194,ORG020,RES030,17.23,2019-01-01,2020-12-31
195,ORG020,RES009,18.38,2019-01-01,2020-12-31
