organizer_id,organizer_name,country,region
ORG001,"Wilson, Smith and Miller",USA,California
ORG002,Rios Inc,UK,Texas
ORG003,Thomas-Marshall,Canada,Texas
ORG004,Eaton Group,USA,Illinois
ORG005,"Moran, Jackson and Walker",USA,Illinois
ORG006,Quinn Group,Germany,California
ORG007,"Hernandez, Adams and Dixon",USA,California
ORG008,Brown LLC,Canada,Texas
ORG009,Lawrence-Sutton,France,Illinois
ORG010,"Lopez, Gardner and Johnson",USA,Illinois
ORG011,Pollard-Caldwell,Canada,Illinois
ORG012,"Gonzales, Gomez and Howard",Germany,Texas
ORG013,Coleman-Hebert,Germany,Illinois
ORG014,Mcfarland-Brooks,UK,California
ORG015,"Cook, Alexander and Jackson",Canada,New York
ORG016,"Vazquez, Murphy and Jones",UK,Florida
ORG017,Davis LLC,Canada,Texas
ORG018,Lee-Smith,UK,California
ORG019,"Murphy, Anthony and Melendez",USA,New York
ORG020,Campbell-Neal,USA,Florida
