reseller_id,reseller_name,country,region
RES001,Anderson PLC,UK,Illinois
RES002,Davis-Meyer,UK,California
RES003,Miller-Davis,Germany,Illinois
RES004,"Hoffman, Black and Jennings",USA,New York
RES005,Randolph LLC,USA,Illinois
RES006,Tapia and Sons,UK,Illinois
RES007,Stafford and Sons,UK,Illinois
RES008,"Chapman, Watson and Green",Canada,California
RES009,Johnson-Ortiz,USA,Texas
RES010,Butler-Smith,UK,California
RES011,"Keith, Jenkins and Mathis",Canada,California
RES012,Hobbs Inc,Germany,Florida
RES013,Mcdaniel PLC,Germany,Florida
RES014,Brown-Santos,Canada,Florida
RES015,Brennan-Carter,UK,Texas
RES016,"Blair, Martin and Hunter",UK,California
RES017,"Kelly, Coleman and Acosta",France,Texas
RES018,Nichols-Cox,France,Texas
RES019,"Brown, Rose and Martin",Canada,New York
RES020,Fry-Vance,Germany,Florida
RES021,Wilson Inc,France,Texas
RES022,Garcia-Lynn,UK,California
RES023,"Jackson, Martin and James",Canada,California
RES024,"Reynolds, Green and Martin",UK,New York
RES025,Griffin-Shannon,UK,California
RES026,Clark Group,Canada,Illinois
RES027,Cunningham LLC,UK,Texas
RES028,"Wilson, Bass and Flores",Germany,New York
RES029,Scott-Berry,Germany,Texas
RES030,Perez-Michael,UK,Texas
RES031,Wagner Inc,Canada,Illinois
RES032,Case-Velasquez,France,Florida
RES033,"Mcdaniel, Gordon and Dunn",France,New York
RES034,Pace-Moore,France,New York
RES035,Avery and Sons,UK,Texas
RES036,Rodriguez and Sons,Canada,Illinois
RES037,Alvarado-Burke,Germany,California
RES038,"Lopez, Miles and Brewer",USA,California
RES039,Day LLC,Canada,Texas
RES040,Johnson-Dean,Germany,Illinois
RES041,Ramos LLC,USA,New York
RES042,"Schwartz, Peterson and Herrera",Germany,Illinois
RES043,"Lewis, Chandler and Woodward",Germany,Illinois
RES044,Grant Ltd,UK,Illinois
RES045,Salazar-Walker,USA,California
RES046,Brown-Robertson,France,Florida
RES047,Walton-Francis,UK,California
RES048,Sanders and Sons,UK,New York
RES049,Donaldson-Robinson,Canada,New York
RES050,Payne PLC,USA,Florida
